Model_Name,weights_column,offset_column,fold_column,fold_assignment,stopping_rounds,max_runtime_secs,stopping_metric,stopping_tolerance,balance_classes,class_sampling_factors,max_after_balance_size,ntrees,max_depth,min_rows,nbins,nbins_top_level,nbins_cats,seed,sample_rate,sample_rate_per_class,col_sample_rate_per_tree,col_sample_rate_change_per_level,min_split_improvement,histogram_type,mtries,categorical_encoding
DRF_1_AutoML_20190416_233703,NULL,NULL,NULL,Modulo,0,0.0,AUTO,0.0070215647432795535,False,NULL,5.0,50,20,1.0,20,1024,1024,-6704382951542713002,0.6320000290870667,NULL,1.0,1.0,1e-05,AUTO,-1,AUTO
DRF_1_AutoML_20190417_103626,NULL,NULL,NULL,Modulo,0,0.0,deviance,0.0070215647432795535,False,NULL,5.0,50,20,1.0,20,1024,1024,6959041519254724733,0.6320000290870667,NULL,1.0,1.0,1e-05,AUTO,-1,AUTO
DRF_1_AutoML_20190417_092107,NULL,NULL,NULL,Modulo,0,0.0,AUTO,0.0070215647432795535,False,NULL,5.0,50,20,1.0,20,1024,1024,-2635800423649975935,0.6320000290870667,NULL,1.0,1.0,1e-05,AUTO,-1,AUTO
DRF_1_AutoML_20190417_121910,NULL,NULL,NULL,Modulo,0,0.0,AUTO,0.0070215647432795535,False,NULL,5.0,50,20,1.0,20,1024,1024,-9111228162615771517,0.6320000290870667,NULL,1.0,1.0,1e-05,AUTO,-1,AUTO
DRF_1_AutoML_20190419_190006,NULL,NULL,NULL,Modulo,0,0.0,deviance,0.0070215647432795535,False,NULL,5.0,43,20,1.0,20,1024,1024,-8631069984132283210,0.6320000290870667,NULL,1.0,1.0,1e-05,AUTO,-1,AUTO
DRF_1_AutoML_20190419_193106,NULL,NULL,NULL,Modulo,0,0.0,deviance,0.0070215647432795535,False,NULL,5.0,35,20,1.0,20,1024,1024,5016295063280971703,0.6320000290870667,NULL,1.0,1.0,1e-05,AUTO,-1,AUTO
